Date,Time,RunNumber,PedestalRunNumber,EventIDDiff,SkipEvents,AliNEvents,Rotation,Rotation Sensor,Rotation Stage,Bias Volt,Config file,Sensor Temp.,Air Temp.,Air Humid.,Cu Plate Temp.,TelescopeRunNumber,TelNEvents,Rate (Hz),BeamEnergy,Config file,MagneticField,Current on Power supply,I-Coil,GearFileName,Comments
25/10/13,,114,000111,0,,100,0,,,-50,CCE_TB5_kazu_131024.ini,-25,4.1,5.3,-28,000753,100,102,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,
25/10/13,,120,000115,0,,100,0,,,-100,CCE_TB5_kazu_131024.ini,-25.1,3.4,5.5,-28.5,000758,100,104,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,
25/10/13,,124,000121,0,,100,0,,,-150,CCE_TB5_kazu_131024.ini,-25.2,3.8,5.5,-28.5,000759,100,104,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,
25/10/13,,128,000125,0,,100,0,,,-200,CCE_TB5_kazu_131024.ini,-25,3.5,5.5,-28.3,000760,100,105,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,
25/10/13,,132,000129,0,,100,0,,,-250,CCE_TB5_kazu_131024.ini,-25.4,3.3,5.6,-28.8,000761,100,105,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,
26/10/13,,149,000158,0,,100,0,,,-300,CCE.ini,-25.41,-0.5,5.85,-28.89,000769,101,103,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,
26/10/13,,150,000151,0,,100,0,,,-350,CCE.ini,-25.38,-0.6,5.84,-28.87,000770,100,100,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,
26/10/13,,153,000159,0,,100,0,,,-400,CCE.ini,-25.4,-0.54,5.85,-28.93,000772,96,101,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,
26/10/13,,154,000160,0,,100,0,,,-450,CCE.ini,-25.4,-0.54,5.85,-28.93,000773,101,103,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,
26/10/13,,155,000161,0,,100,0,,,-500,CCE.ini,-25.44,-0.57,5.88,-28.92,000774,100,101,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,
26/10/13,,156,000162,0,,100,0,,,-550,CCE.ini,-25.43,-0.7,5.9,-28.94,000775,100,103,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,
26/10/13,,157,000163,0,,100,0,,,-600,CCE.ini,-25.42,-0.68,5.9,-28.94,000776,104,105,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,
30/10/13,13:53,669,000111,0,,100,0,,,-50,CCE_v4.ini,-23.83,0.36,4.37,-27,001101,100,221,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,telescope alignment wrt beam changed
30/10/13,14:30,671,000115,0,,100,0,,,-100,CCE_v4.ini,-24.06,3.95,5.48,-27.29,001104,100,,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,telescope alignment wrt beam changed
30/10/13,14:41,672,000121,0,,100,0,,,-150,CCE_v4.ini,-24.06,4.22,5.43,-27.27,001105,100,198,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,telescope alignment wrt beam changed
31/10/13,21:24,1004,001001,0,,300,0,,,-100,CCE_v4.ini,-24.95,-1.88,7.82,-7.39,001206,,,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
6/11/13,6:23,1274,001275,0,,300,0,,,-100,CCE_v4.ini,-21.66,1.79,6.95,-9.4,001397,300,184,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,
31/10/13,22:04,1010,001006,0,,300,0,,,-200,CCE_v4.ini,-24.99,-1.94,7.71,-10.6,001207,300,200,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
31/10/13,23:16,1014,001011,0,,300,0,,,-300,CCE_v4.ini,-25.09,-2.13,7.7,-13.4,001208,300,-,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
31/10/13,23:22,1016,001017,0,,300,0,,,-400,CCE_v4.ini,-25.11,-2.15,7.69,-15.9,001209,300,170,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
1/11/13,0:11,1020,001021,0,,300,0,,,-500,CCE_v4.ini,-25.35,-2.4,7.82,-18,001210,300,173,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
1/11/13,0:57,1024,001025,0,,300,0,,,-600,CCE_v4.ini,-25.22,-2.21,7.74,-20,001211,300,170,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
1/11/13,1:32,1028,001029,0,,300,0,,,-700,CCE_v4.ini,-25.11,-2.16,7.72,-23,001212,300,171,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
6/11/13,5:58,1273,001269,0,,300,0,,,-800,CCE_v4.ini,-21.68,1.53,6.91,-38.5,001396,300,180,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,
1/11/13,4:01,1041,001042,0,,300,0,,,-900,CCE_v4.ini,-25.08,-2.32,7.82,-30,001219,300,158,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,
1/11/13,12:14,1049,001050,0,,300,0,,,-1000,CCE_v4.ini,-24.62,-2.31,8.1,-36.01,001225,300,194,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
6/11/2013,15:43:00,2006,002003,-1,,300,0,,,-100,CCE_v4.ini,-21.14,2.96,7.6,-24.94,001406,300,196,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,"forgot to stop eudaq run, ignore last 15 telescope events"
6/11/2013,16:18:00,2011,002007,-1,,300,0,,,-200,CCE_v4.ini,-21.36,2.6,7.64,-37.7,001407,300,-,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
6/11/2013,16:46:00,2012,002013,-1,,300,0,,,-300,CCE_v4.ini,-21.34,2.53,7.68,-51.24,001408,300,208,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
6/11/2013,17:17:00,2019,002018,-1,,300,0,,,-400,CCE_v4.ini,-21.23,2.39,7.68,-67.69,001409,300,165,4.4,LAM_coins_telescope_and_alibava,0,0,0,gear-TB5-B000,-
